analysis_set,analysis_tier,cohort,wave,n_classes,class,class_n,class_pct,mean_posterior,severity_mean,severity_sd,functional_score,cognitive_score,affective_score,cardiometabolic_chronic_score,profile_label,high_domains_vs_class_severity,spared_domains_vs_class_severity
strict_earliest_primary,strict_primary,HRS,5,2,1,8311,81.46,0.9999,-0.2124,0.4576,-0.4133,-0.1206,-0.1581,-0.1575,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,2,2,1891,18.54,1.0,0.7406,0.6604,1.2389,0.5259,0.6906,0.5069,high_burden_high_functional,functional,
strict_earliest_primary,strict_primary,HRS,5,3,1,8311,81.46,1.0,-0.2124,0.4576,-0.4133,-0.1206,-0.1581,-0.1575,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,3,2,943,9.24,0.9998,0.4233,0.5333,0.3953,0.4139,0.4628,0.4211,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,3,3,948,9.29,1.0,1.0562,0.6226,2.0781,0.6372,0.9172,0.5922,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,4,1,8311,81.46,1.0,-0.2124,0.4576,-0.4133,-0.1206,-0.1581,-0.1575,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,4,2,932,9.14,0.9842,0.4206,0.535,0.3953,0.4208,0.4337,0.4324,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,4,3,11,0.11,0.6159,0.6537,0.2774,0.3953,-0.1713,2.9251,-0.5341,high_burden_high_affective_spared_cognitive_cardiometabolic_chronic,affective,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,4,4,948,9.29,1.0,1.0562,0.6226,2.0781,0.6372,0.9172,0.5922,high_burden_high_functional_spared_cognitive_cardiometabolic_chronic,functional,cognitive;cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,1,3596,35.25,0.9998,-0.4924,0.3233,-0.4133,-0.2965,-0.2705,-0.9894,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,2,4428,43.4,0.9755,-0.0303,0.4189,-0.4133,-0.0053,-0.2097,0.5071,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,HRS,5,5,3,870,8.53,0.9075,0.397,0.542,0.3953,0.3903,0.347,0.4554,intermediate_severity_aligned,,
strict_earliest_primary,strict_primary,HRS,5,5,4,659,6.46,0.846,0.6935,0.4404,0.7683,0.49,1.5036,0.0122,high_burden_high_affective_spared_cardiometabolic_chronic,affective,cardiometabolic_chronic
strict_earliest_primary,strict_primary,HRS,5,5,5,649,6.36,1.0,1.1369,0.648,2.1171,0.6453,0.9257,0.8595,high_burden_high_functional_spared_cognitive,functional,cognitive
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,2,1,14446,52.66,0.9996,-0.2563,0.4168,-0.6137,-0.2081,-0.1315,-0.0718,intermediate_spared_functional,,functional
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,2,2,12987,47.34,1.0,0.2685,0.5871,0.6213,0.2319,0.1464,0.0742,intermediate_high_functional,functional,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,1,15915,58.01,0.8608,-0.1877,0.4873,-0.0969,0.0875,-0.0156,-0.7258,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,2,5641,20.56,0.9974,-0.0429,0.4117,-0.6137,-0.3776,-0.1293,0.9491,intermediate_high_cardiometabolic_chronic_spared_functional,cardiometabolic_chronic,functional
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,3,3,5877,21.42,1.0,0.5127,0.586,0.7158,0.1264,0.1667,1.0421,high_burden_high_cardiometabolic_chronic_spared_cognitive,cardiometabolic_chronic,cognitive
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,4,1,15755,57.43,0.9988,-0.2071,0.463,-0.1464,0.0717,-0.0279,-0.7258,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,4,2,7783,28.37,0.9986,0.1267,0.5292,0.0367,-0.062,0.0263,0.5059,intermediate_high_cardiometabolic_chronic,cardiometabolic_chronic,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,4,3,2939,10.71,0.9933,0.4059,0.539,0.0772,-0.2094,0.0181,1.7376,intermediate_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,4,4,956,3.48,0.982,0.9077,0.6369,1.0431,-0.0283,0.1914,2.4247,high_burden_high_cardiometabolic_chronic_spared_cognitive_affective,cardiometabolic_chronic,cognitive;affective
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,5,1,15941,58.11,0.9292,-0.1897,0.4894,-0.0977,0.0827,-0.0178,-0.7258,intermediate_spared_cardiometabolic_chronic,,cardiometabolic_chronic
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,5,2,3891,14.18,0.6716,-0.1379,0.397,-0.6137,-0.6958,-0.3678,1.1257,intermediate_high_cardiometabolic_chronic_spared_functional_cognitive,cardiometabolic_chronic,functional;cognitive
