outcome,effect_measure,analysis_set,analysis_tier,cohort,term_label,adjustment,age_adjusted_effect,age_adjusted_ci_low,age_adjusted_ci_high,age_adjusted_p_value,sensitivity_effect,sensitivity_ci_low,sensitivity_ci_high,sensitivity_p_value,effect_ratio_sensitivity_vs_age,direction_change,significance_change,material_log_change,stability_flag
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,2,expanded_core,1.4704,1.0647,2.0307,0.019261,1.5238,1.0733,2.1634,0.018509,1.0363,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,3,minimal_core,2.1048,1.4705,3.0129,4.8e-05,2.2211,1.5131,3.2603,4.6e-05,1.0552,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,3,expanded_core,2.1048,1.4705,3.0129,4.8e-05,2.1614,1.4705,3.1769,8.8e-05,1.0269,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,4,minimal_core,2.5316,1.7706,3.6196,0.0,2.5669,1.7463,3.7732,2e-06,1.014,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,4,expanded_core,2.5316,1.7706,3.6196,0.0,2.488,1.6896,3.6637,4e-06,0.9828,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,5,minimal_core,3.0109,2.1579,4.2011,0.0,3.0749,2.1533,4.391,0.0,1.0213,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,ELSA,5,expanded_core,3.0109,2.1579,4.2011,0.0,2.9219,2.0393,4.1866,0.0,0.9704,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,2,minimal_core,1.6422,1.5358,1.7559,0.0,1.6396,1.533,1.7536,0.0,0.9984,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,2,minimal_plus_bmi,1.6422,1.5358,1.7559,0.0,1.644,1.5349,1.7608,0.0,1.0011,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,3,minimal_core,2.2213,2.0168,2.4466,0.0,2.1483,1.9493,2.3677,0.0,0.9671,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,3,minimal_plus_bmi,2.2213,2.0168,2.4466,0.0,2.1702,1.9641,2.398,0.0,0.977,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,4,minimal_core,2.1366,1.9168,2.3817,0.0,1.9781,1.7724,2.2078,0.0,0.9258,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,4,minimal_plus_bmi,2.1366,1.9168,2.3817,0.0,2.029,1.8144,2.2688,0.0,0.9496,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,5,minimal_core,2.8771,2.592,3.1935,0.0,2.5975,2.3379,2.8859,0.0,0.9028,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,HRS,5,minimal_plus_bmi,2.8771,2.592,3.1935,0.0,2.5946,2.3286,2.891,0.0,0.9018,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,MHAS,2,minimal_core,1.3646,1.2246,1.5206,0.0,1.3565,1.2169,1.5121,0.0,0.9941,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,MHAS,3,minimal_core,2.4136,2.1212,2.7464,0.0,2.3911,2.0997,2.723,0.0,0.9907,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,MHAS,4,minimal_core,2.1346,1.8423,2.4733,0.0,2.1198,1.8291,2.4567,0.0,0.9931,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,MHAS,5,minimal_core,1.9539,1.6924,2.2558,0.0,1.9207,1.6628,2.2186,0.0,0.983,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,2,minimal_core,1.2414,1.1314,1.3621,5e-06,1.2682,1.1554,1.392,1e-06,1.0216,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,2,expanded_core,1.2414,1.1314,1.3621,5e-06,1.2552,1.1416,1.3801,3e-06,1.0111,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,2,minimal_plus_bmi,1.2414,1.1314,1.3621,5e-06,1.2641,1.1491,1.3907,1e-06,1.0183,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,3,minimal_core,1.673,1.5036,1.8615,0.0,1.6625,1.4929,1.8514,0.0,0.9937,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,3,expanded_core,1.673,1.5036,1.8615,0.0,1.5845,1.4177,1.7709,0.0,0.9471,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,3,minimal_plus_bmi,1.673,1.5036,1.8615,0.0,1.67,1.4945,1.8662,0.0,0.9982,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,4,minimal_core,2.7529,2.453,3.0895,0.0,2.6967,2.3965,3.0344,0.0,0.9796,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,4,expanded_core,2.7529,2.453,3.0895,0.0,2.492,2.2003,2.8223,0.0,0.9052,0,0,0,0
all_cause_mortality,HR,strict_earliest_primary,strict_primary,SHARE,4,minimal_plus_bmi,2.7529,2.453,3.0895,0.0,2.7047,2.3899,3.0611,0.0,0.9825,0,0,0,0
