analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.8.0],8.0,1,0.068326,1.0707,0.8254,1.3889,0.606779
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_marital_status_raw)[T.rare_or_sparse],rare_or_sparse,1,-18.895536,0.0,0.0,inf,0.99915
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_smoking_raw)[T.1.0],1.0,1,0.106734,1.1126,0.9757,1.2688,0.111248
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,C(cov_drinking_raw)[T.1.0],1.0,1,-0.30522,0.737,0.6702,0.8104,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,age,age,1,0.057486,1.0592,1.0536,1.0648,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,Intercept,Intercept,1,-4.372519,0.0126,0.0079,0.0202,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,0.437354,1.5486,1.3366,1.7942,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.3]",3,1,0.736515,2.0886,1.7072,2.5554,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.4]",4,1,0.15455,1.1671,0.8839,1.5412,0.275888
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,endotype,minimal_core,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1,0.346342,1.4139,1.1047,1.8097,0.005951
