cohort,model_type,risk_decile,n,observed_event_pct,mean_predicted_event_pct
ELSA,continuous_three_domain_adjusted,9,456,51.973684210526315,47.48780706332389
ELSA,continuous_three_domain_adjusted,10,457,57.11159737417943,63.06970031786015
HRS,lfo_profile_adjusted,1,943,9.968186638388122,15.117462290356068
HRS,lfo_profile_adjusted,2,943,18.027571580063626,20.440832117259077
HRS,lfo_profile_adjusted,3,943,22.481442205726403,24.534123924514155
HRS,lfo_profile_adjusted,4,943,31.70731707317073,28.715911507164943
HRS,lfo_profile_adjusted,5,943,37.22163308589608,32.93868676999307
HRS,lfo_profile_adjusted,6,943,39.02439024390244,37.29181592298437
HRS,lfo_profile_adjusted,7,943,48.038176033934256,42.441988160731356
HRS,lfo_profile_adjusted,8,943,52.17391304347826,48.83189822237182
HRS,lfo_profile_adjusted,9,943,55.143160127253445,56.99673211630003
HRS,lfo_profile_adjusted,10,943,62.24814422057264,68.72448322072883
HRS,continuous_three_domain_adjusted,1,943,10.392364793213149,15.231952998983692
HRS,continuous_three_domain_adjusted,2,943,16.64899257688229,20.242995807069093
HRS,continuous_three_domain_adjusted,3,943,22.58748674443266,24.133715731370557
HRS,continuous_three_domain_adjusted,4,943,27.67762460233298,28.137682112734453
HRS,continuous_three_domain_adjusted,5,943,36.37327677624602,32.27715398035773
HRS,continuous_three_domain_adjusted,6,943,44.008483563096505,36.98421900102738
HRS,continuous_three_domain_adjusted,7,943,44.32661717921527,42.3506892216103
HRS,continuous_three_domain_adjusted,8,943,53.65853658536586,48.94569164199922
HRS,continuous_three_domain_adjusted,9,943,59.27889713679746,57.42923768719327
HRS,continuous_three_domain_adjusted,10,943,61.08165429480382,70.30059607005985
KLoSA,lfo_profile_adjusted,1,384,20.833333333333336,23.168877498044395
KLoSA,lfo_profile_adjusted,2,383,26.109660574412537,24.577695363484768
KLoSA,lfo_profile_adjusted,3,383,25.848563968668408,25.85568112188691
KLoSA,lfo_profile_adjusted,4,384,27.604166666666668,27.281963105723868
KLoSA,lfo_profile_adjusted,5,383,27.676240208877285,28.550628917397532
