analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,replicate_id,resample_design,adjusted_rand_index_vs_reference,mean_centroid_distance_vs_reference,max_centroid_distance_vs_reference,aligned_component_order,replicate_min_class_pct_on_full_data,replicate_entropy_separation_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,6,nonparametric_bootstrap,1.0,0.0394,0.0587,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,7,nonparametric_bootstrap,1.0,0.0263,0.0548,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,8,nonparametric_bootstrap,1.0,0.0497,0.081,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,9,nonparametric_bootstrap,1.0,0.046,0.0532,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,10,nonparametric_bootstrap,0.9275,0.793,1.4477,"1,2,3",6.43,0.9479,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,11,nonparametric_bootstrap,1.0,0.0402,0.0656,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,12,nonparametric_bootstrap,0.9276,0.8447,1.5099,"1,2,3",6.01,0.9498,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,13,nonparametric_bootstrap,0.43,0.8722,1.2541,"1,2,3",26.58,0.9991,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,14,nonparametric_bootstrap,1.0,0.0537,0.0852,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,15,nonparametric_bootstrap,1.0,0.0606,0.0964,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,16,nonparametric_bootstrap,1.0,0.043,0.0582,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,17,nonparametric_bootstrap,1.0,0.0582,0.1214,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,18,nonparametric_bootstrap,1.0,0.0472,0.062,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,19,nonparametric_bootstrap,1.0,0.05,0.0723,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,CHARLS,1,6019,3,219.45,0.9997,1.0,20,nonparametric_bootstrap,1.0,0.0451,0.0587,"1,2,3",11.41,0.9997,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,1,nonparametric_bootstrap,1.0,0.0462,0.0663,"1,2,3,4,5",8.99,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,2,nonparametric_bootstrap,1.0,0.0556,0.0937,"1,2,3,4,5",8.99,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,3,nonparametric_bootstrap,0.9997,0.0668,0.1149,"1,2,3,4,5",8.96,0.9997,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,4,nonparametric_bootstrap,0.8924,0.1542,0.4044,"1,2,4,3,5",3.88,0.9995,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,5,nonparametric_bootstrap,0.3461,0.5995,1.134,"2,1,3,4,5",2.42,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,6,nonparametric_bootstrap,0.8776,0.6268,2.5129,"1,2,3,4,5",1.88,0.9996,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,7,nonparametric_bootstrap,1.0,0.0413,0.07,"1,2,3,4,5",8.99,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,8,nonparametric_bootstrap,0.9997,0.0533,0.114,"1,2,3,4,5",8.96,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,9,nonparametric_bootstrap,0.9997,0.0657,0.1267,"1,2,3,4,5",8.96,0.9997,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,10,nonparametric_bootstrap,1.0,0.0488,0.0912,"1,2,3,4,5",8.99,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,11,nonparametric_bootstrap,0.8715,0.7777,2.5764,"1,2,3,4,5",5.34,0.9995,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,12,nonparametric_bootstrap,0.8245,0.5001,0.9579,"1,2,4,3,5",7.45,0.9837,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,13,nonparametric_bootstrap,0.8828,0.7073,2.9509,"1,2,3,4,5",0.64,0.9956,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,14,nonparametric_bootstrap,0.9997,0.0518,0.1057,"1,2,3,4,5",8.96,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,15,nonparametric_bootstrap,0.7938,0.3376,1.0366,"1,2,3,4,5",1.72,0.9569,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,16,nonparametric_bootstrap,0.9997,0.0498,0.0973,"1,2,3,4,5",8.96,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,17,nonparametric_bootstrap,0.8857,0.7134,2.9853,"1,2,3,5,4",0.02,0.9994,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,18,nonparametric_bootstrap,0.8924,0.1402,0.3961,"1,2,3,4,5",3.88,0.9993,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,19,nonparametric_bootstrap,1.0,0.065,0.1185,"1,2,3,4,5",8.99,0.9998,1,
strict_earliest_primary,strict_primary,ELSA,1,6104,5,-58676.83,0.9998,1.0,20,nonparametric_bootstrap,0.8776,0.644,2.5519,"1,2,3,4,5",1.88,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,1,nonparametric_bootstrap,0.9815,0.537,1.0164,"1,2,3,4,5",3.91,0.9831,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,2,nonparametric_bootstrap,0.4039,0.4911,1.1239,"2,1,3,4,5",2.21,0.9999,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,3,nonparametric_bootstrap,0.4083,0.6724,2.1987,"1,4,2,3,5",0.6,0.9937,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,4,nonparametric_bootstrap,1.0,0.0514,0.0974,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,5,nonparametric_bootstrap,0.3968,1.1686,1.9421,"1,3,2,4,5",1.09,0.9841,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,6,nonparametric_bootstrap,0.2829,0.8508,1.6841,"1,2,3,4,5",2.03,0.8852,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,7,nonparametric_bootstrap,1.0,0.0619,0.1549,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,8,nonparametric_bootstrap,0.2823,0.3794,0.9093,"1,2,3,4,5",4.05,0.9988,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,9,nonparametric_bootstrap,0.297,0.3219,0.7296,"1,2,3,4,5",4.05,0.8921,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,10,nonparametric_bootstrap,0.9905,1.0065,4.3132,"1,2,3,5,4",0.01,0.9993,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,11,nonparametric_bootstrap,1.0,0.0393,0.0729,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,12,nonparametric_bootstrap,0.2889,0.8497,2.1197,"1,2,3,5,4",0.29,0.8949,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,13,nonparametric_bootstrap,0.9906,0.5799,2.1044,"1,2,3,5,4",0.02,0.9971,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,14,nonparametric_bootstrap,1.0,0.045,0.0751,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,15,nonparametric_bootstrap,1.0,0.0358,0.0536,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,16,nonparametric_bootstrap,0.4062,0.7,2.142,"1,4,2,3,5",1.26,0.9915,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,17,nonparametric_bootstrap,0.9904,0.6096,2.0807,"1,2,3,5,4",0.07,0.9965,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,18,nonparametric_bootstrap,0.2818,0.8572,1.7112,"1,2,3,4,5",2.05,0.8884,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,19,nonparametric_bootstrap,1.0,0.0678,0.1401,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,HRS,5,10202,5,-59579.5,0.9554,0.9714,20,nonparametric_bootstrap,1.0,0.0516,0.1122,"1,2,3,4,5",4.05,0.9995,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,1,nonparametric_bootstrap,0.9781,0.1203,0.1338,"1,2,3",20.47,0.8593,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,2,nonparametric_bootstrap,0.9781,0.1005,0.1131,"1,2,3",20.47,0.8649,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,3,nonparametric_bootstrap,0.9963,0.0254,0.0322,"1,2,3",20.47,0.8951,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,4,nonparametric_bootstrap,0.9963,0.0286,0.0566,"1,2,3",20.47,0.892,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,5,nonparametric_bootstrap,0.9781,0.1154,0.1281,"1,2,3",20.47,0.8589,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,6,nonparametric_bootstrap,0.9973,0.0194,0.0245,"1,2,3",20.47,0.8845,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,7,nonparametric_bootstrap,0.9781,0.12,0.1317,"1,2,3",20.47,0.8559,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,8,nonparametric_bootstrap,0.999,0.0183,0.0363,"1,2,3",20.47,0.8899,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,9,nonparametric_bootstrap,0.9781,0.1266,0.1451,"1,2,3",20.47,0.8554,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,10,nonparametric_bootstrap,0.9781,0.1043,0.1159,"1,2,3",20.47,0.8603,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,11,nonparametric_bootstrap,0.9781,0.0984,0.1071,"1,2,3",20.47,0.8631,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,12,nonparametric_bootstrap,0.9957,0.022,0.0239,"1,2,3",20.47,0.8917,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,13,nonparametric_bootstrap,0.9676,0.1915,0.2807,"2,1,3",20.8,0.8336,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,14,nonparametric_bootstrap,0.9781,0.1155,0.1326,"1,2,3",20.47,0.8595,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,15,nonparametric_bootstrap,0.9968,0.0186,0.0326,"1,2,3",20.47,0.889,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,16,nonparametric_bootstrap,0.9964,0.0192,0.0213,"1,2,3",20.47,0.8852,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,17,nonparametric_bootstrap,0.9993,0.0158,0.0204,"1,2,3",20.47,0.887,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,18,nonparametric_bootstrap,0.9643,0.1915,0.28,"2,1,3",20.91,0.8352,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,19,nonparametric_bootstrap,0.9781,0.1156,0.1212,"1,2,3",20.47,0.8579,1,
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,27433,3,31419.95,0.8367,0.9187,20,nonparametric_bootstrap,0.9983,0.0152,0.0212,"1,2,3",20.47,0.8881,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,1,nonparametric_bootstrap,1.0,0.0927,0.2178,"1,2,3,4,5",3.77,0.9425,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,2,nonparametric_bootstrap,0.9779,0.3014,0.7591,"1,2,3,4,5",3.71,0.9715,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,3,nonparametric_bootstrap,0.8355,0.7057,1.1336,"1,3,2,5,4",6.86,0.9985,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,4,nonparametric_bootstrap,0.8309,0.5882,2.0289,"1,2,3,4,5",7.08,0.987,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,5,nonparametric_bootstrap,0.9783,0.375,0.903,"1,3,2,4,5",2.23,0.9774,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,6,nonparametric_bootstrap,0.9999,0.0942,0.2055,"1,2,3,4,5",3.76,0.9511,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,7,nonparametric_bootstrap,1.0,0.0709,0.1409,"1,2,3,4,5",3.77,0.9385,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,8,nonparametric_bootstrap,1.0,0.1045,0.2,"1,2,3,4,5",3.77,0.9395,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,9,nonparametric_bootstrap,1.0,0.082,0.221,"1,2,3,4,5",3.77,0.9449,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,10,nonparametric_bootstrap,0.9771,0.3809,0.7846,"1,2,3,4,5",3.19,0.9682,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,11,nonparametric_bootstrap,0.8366,0.5398,2.0518,"1,2,3,4,5",7.22,0.9883,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,12,nonparametric_bootstrap,0.9777,0.3074,0.7857,"1,2,3,4,5",3.82,0.9722,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,13,nonparametric_bootstrap,0.9783,0.52,2.047,"1,2,4,3,5",0.52,0.9845,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,14,nonparametric_bootstrap,0.36,0.8294,1.4348,"1,2,3,5,4",2.55,0.9781,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,15,nonparametric_bootstrap,0.9775,0.2737,0.8542,"1,2,3,4,5",4.5,0.9697,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,16,nonparametric_bootstrap,1.0,0.085,0.161,"1,2,3,4,5",3.77,0.9442,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,17,nonparametric_bootstrap,0.9941,0.297,1.0893,"1,2,3,4,5",3.28,0.9417,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,18,nonparametric_bootstrap,0.9775,0.3703,0.9197,"1,2,3,4,5",3.06,0.9714,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,19,nonparametric_bootstrap,1.0,0.0591,0.1059,"1,2,3,4,5",3.77,0.943,1,
strict_earliest_primary,strict_primary,MHAS,1,6733,5,-71351.93,0.9984,0.9992,20,nonparametric_bootstrap,1.0,0.0682,0.2162,"1,2,3,4,5",3.77,0.9468,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,1,nonparametric_bootstrap,0.367,0.5095,0.7451,"1,2,3,4",7.63,0.9749,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,2,nonparametric_bootstrap,0.9978,0.0321,0.0629,"1,2,3,4",7.31,0.9319,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,3,nonparametric_bootstrap,0.3661,0.5229,0.7738,"1,2,3,4",6.91,0.9743,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,4,nonparametric_bootstrap,0.997,0.0434,0.1009,"1,2,3,4",7.45,0.9347,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,5,nonparametric_bootstrap,0.3677,0.5235,0.7617,"1,2,3,4",7.19,0.9745,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,6,nonparametric_bootstrap,0.3671,0.5218,0.7676,"1,2,3,4",7.0,0.9751,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,7,nonparametric_bootstrap,0.9979,0.0332,0.0803,"1,2,3,4",7.07,0.9325,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,8,nonparametric_bootstrap,0.9976,0.0388,0.0772,"1,2,3,4",7.4,0.9324,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,9,nonparametric_bootstrap,0.3673,0.5236,0.771,"1,2,3,4",7.02,0.975,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,10,nonparametric_bootstrap,0.3672,0.5,0.7627,"1,2,3,4",6.99,0.9751,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,11,nonparametric_bootstrap,0.3662,0.5324,0.7501,"1,2,3,4",7.43,0.9745,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,12,nonparametric_bootstrap,0.9973,0.0422,0.1021,"1,2,3,4",7.52,0.9354,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,13,nonparametric_bootstrap,0.992,0.0691,0.1729,"1,2,3,4",7.07,0.9335,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,14,nonparametric_bootstrap,0.9984,0.0422,0.0919,"1,2,3,4",7.37,0.9315,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,15,nonparametric_bootstrap,0.9966,0.0662,0.1745,"1,2,3,4",7.58,0.9316,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,16,nonparametric_bootstrap,0.9959,0.0619,0.1751,"1,2,3,4",7.62,0.9321,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,17,nonparametric_bootstrap,0.3659,0.5214,0.7706,"1,2,3,4",6.69,0.9757,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,18,nonparametric_bootstrap,0.3618,0.7082,1.1155,"2,1,3,4",4.71,0.9364,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,19,nonparametric_bootstrap,0.368,0.5112,0.7596,"1,2,3,4",7.19,0.9753,1,
strict_earliest_primary,strict_primary,SHARE,1,15721,4,-11357.53,0.9332,0.9737,20,nonparametric_bootstrap,0.3673,0.5276,0.7585,"1,2,3,4",7.04,0.9755,1,
