analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,adjustment,term,term_label,reference,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.031192,1.0317,1.0232,1.0403,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-4.34065,0.013,0.0083,0.0205,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.638686,1.894,1.6282,2.2032,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.663988,1.9425,1.6751,2.2527,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.049577,1.0508,1.0433,1.0584,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-6.506992,0.0015,0.0009,0.0024,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.843104,2.3236,1.9317,2.795,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.541718,1.719,1.4322,2.0632,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.074296,1.0771,1.0694,1.0849,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-4.7268,0.0089,0.0065,0.0121,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.82573,2.2835,2.0375,2.5593,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.489925,1.6322,1.4608,1.8237,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.056058,1.0577,1.0527,1.0626,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-4.29876,0.0136,0.0088,0.021,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,0.545368,1.7252,1.4721,2.0219,0.0
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,0.343753,1.4102,1.2056,1.6495,1.7e-05
strict_earliest_primary,strict_primary,MHAS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.047634,1.0488,1.0416,1.0561,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,Intercept,Intercept,low,-4.827276,0.008,0.0054,0.012,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.high]",high,low,2.661946,14.3241,11.578,17.7216,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,"C(severity_tertile, Treatment(reference='low'))[T.middle]",middle,low,1.033891,2.812,2.2349,3.5382,0.0
strict_earliest_primary,strict_primary,SHARE,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,severity_tertile,age_adjusted,age,age,low,0.018762,1.0189,1.0131,1.0248,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,Intercept,Intercept,1,-0.696357,0.4984,0.4527,0.5487,0.0
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,chronic_progression_ge_1_condition,Chronic progression >= 1 condition,endotype,unadjusted,"C(endotype_class, Treatment(reference='1'))[T.2]",2,1,-0.242475,0.7847,0.674,0.9135,0.001766
