analysis_set,analysis_tier,cohort,outcome,model_type,term,term_label,log_hr,hr,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,all_cause_mortality,endotype,age,age,0.112525,1.1191,1.1098,1.1285,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.202902,1.225,0.9734,1.5415,0.08363
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.609883,1.8402,1.5524,2.1814,0.0
strict_earliest_primary,strict_primary,CHARLS,all_cause_mortality,endotype,age,age,0.101573,1.1069,1.0986,1.1152,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.385519,1.4704,1.0647,2.0307,0.019261
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.744243,2.1048,1.4705,3.0129,4.8e-05
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.928852,2.5316,1.7706,3.6196,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1.10224,3.0109,2.1579,4.2011,0.0
strict_earliest_primary,strict_primary,ELSA,all_cause_mortality,endotype,age,age,0.10706,1.113,1.0998,1.1264,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.496013,1.6422,1.5358,1.7559,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.798104,2.2213,2.0168,2.4466,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.759231,2.1366,1.9168,2.3817,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,1.056781,2.8771,2.592,3.1935,0.0
strict_earliest_primary,strict_primary,HRS,all_cause_mortality,endotype,age,age,0.093275,1.0978,1.0945,1.101,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.2]",2,0.310855,1.3646,1.2246,1.5206,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.3]",3,0.881119,2.4136,2.1212,2.7464,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.4]",4,0.758287,2.1346,1.8423,2.4733,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype,"C(endotype_class, Treatment(reference='1'))[T.5]",5,0.669847,1.9539,1.6924,2.2558,0.0
strict_earliest_primary,strict_primary,MHAS,all_cause_mortality,endotype,age,age,0.085357,1.0891,1.0843,1.0939,0.0
