analysis_set,analysis_tier,cohort,wave,method,class,n,class_pct,mean_functional_score,mean_cognitive_score,mean_affective_score,mean_cardiometabolic_chronic_score
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,severity_quantile_k,3,1361,33.3496691987258,0.7471027544010314,0.8713186194989667,0.7471758150648744,0.6592764171566721
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,selected_full_gmm_reference,1,15915,58.0140706448438,-0.09685372119526348,0.08749483020347522,-0.015636258430658377,-0.7257913736864724
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,selected_full_gmm_reference,2,5641,20.56282579375205,-0.6137044034169291,-0.3775845331131706,-0.12932861656116532,0.9491066686307004
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,selected_full_gmm_reference,3,5877,21.423103561404147,0.7157528350792056,0.12638640645042576,0.16672176107647563,1.042069744101965
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,gmm_diag,1,15526,56.59607042612912,-0.08390415817940439,0.14129570977415382,0.00558554576542487,-0.7257913736864724
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,gmm_diag,2,6030,21.980826012466736,-0.6137044034169292,-0.48610801302762846,-0.17663598051400464,0.8410576904447337
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,gmm_diag,3,5877,21.423103561404147,0.7157528350792056,0.12638640645042576,0.16672176107647563,1.042069744101965
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,kmeans,1,13461,49.06863995917326,-0.3639257610701064,-0.06191232894062019,-0.2011960477923368,-0.7241443746908449
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,kmeans,2,9147,33.34305398607517,-0.29538233783458306,-0.34259137247861593,-0.1958821986668443,1.0421222653742628
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,kmeans,3,4825,17.588306054751577,1.4101166452229243,0.8232920053964049,0.9329460065159082,0.029554395429617502
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,severity_quantile_k,1,9144,33.3321182517406,-0.48762863319487143,-0.7058211490853883,-0.6585277953784479,-0.435920751242733
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,severity_quantile_k,2,9144,33.3321182517406,-0.2622283435922633,0.11093244331219819,-0.03724851885998356,-0.10139766070415202
strict_earliest_primary,strict_primary,LASI,all_rows_no_wave,severity_quantile_k,3,9145,33.33576349651879,0.6626394855117043,0.5954030735588973,0.6958566023288358,0.5292973701973912
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,1,2719,40.383187286499336,-0.3229825874073005,-0.10100061498110105,-0.2615798376704937,-0.9550307876869429
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,2,2267,33.66998366255755,-0.32297592371868566,-0.06132639809058017,-0.02051415142127282,0.421854090266625
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,3,760,11.287687509282637,-0.019120334014298284,0.06651480038771371,0.29439216532899315,1.7987389682201924
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,4,467,6.935986930046043,1.8217377419819005,0.3702120017731108,0.5134258608283094,-0.004675557864601608
strict_earliest_primary,strict_primary,MHAS,1,selected_full_gmm_reference,5,520,7.723154611614437,1.5444364131236565,0.28312449819779406,0.6232698906989966,0.421854090266625
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,1,2719,40.383187286499336,-0.3229825874073005,-0.10100061498110105,-0.2615798376704937,-0.9550307876869429
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,2,2267,33.66998366255755,-0.32297592371868566,-0.06132639809058017,-0.02051415142127282,0.421854090266625
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,3,486,7.218179117778107,0.37506912303195894,0.17571867065791177,0.456780588460919,0.27925490194633096
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,4,623,9.252933313530374,-0.3229800784009475,0.04135274837176624,0.19132036958005402,1.8525177783275282
strict_earliest_primary,strict_primary,MHAS,1,gmm_diag,5,638,9.475716619634635,2.5991536074126027,0.4067444451570573,0.6997183535735946,0.46141974767908384
