cohort,domain,variable,present,nonmissing,nonmissing_pct
HRS,cardiometabolic_chronic,hchole,1,72291,34.64
HRS,cardiometabolic_chronic,dyslipe,0,0,0.0
HRS,cardiometabolic_chronic,bmi,1,205281,98.37
HRS,cardiometabolic_chronic,mbmi,1,52465,25.14
HRS,cardiometabolic_chronic,r1mbmi,0,0,0.0
HRS,cardiometabolic_chronic,systo,1,53590,25.68
HRS,cardiometabolic_chronic,diasto,1,53560,25.67
HRS,cardiometabolic_chronic,r1systo,0,0,0.0
HRS,cardiometabolic_chronic,r1diasto,0,0,0.0
HRS,cardiometabolic_chronic,cancre,1,208674,100.0
HRS,female_specific,mammog,1,70509,33.79
HRS,female_specific,r1mammog,0,0,0.0
HRS,female_specific,papsm,1,58807,28.18
HRS,female_specific,r1papsm,0,0,0.0
HRS,female_specific,hystere,1,57701,27.65
HRS,female_specific,r1hystere,0,0,0.0
HRS,female_specific,oophos1y,0,0,0.0
HRS,female_specific,oophos,0,0,0.0
HRS,female_specific,child,0,0,0.0
HRS,female_specific,hchild,0,0,0.0
HRS,female_specific,r1child,0,0,0.0
HRS,inflammaging,bl_crp,0,0,0.0
HRS,inflammaging,bl_wbc,0,0,0.0
HRS,inflammaging,crp,0,0,0.0
HRS,inflammaging,wbc,0,0,0.0
KLoSA,time,wave,1,44273,100.0
KLoSA,time,iwstat,1,44273,100.0
KLoSA,time,radyear,1,4930,11.14
KLoSA,time,radmonth,1,4866,10.99
KLoSA,time,age,0,0,0.0
KLoSA,time,agey,1,44273,100.0
KLoSA,time,r1agey,0,0,0.0
KLoSA,time,ragey_b,0,0,0.0
KLoSA,time,ragey_e,0,0,0.0
KLoSA,sex,ragender,1,44273,100.0
KLoSA,functional,adltot6,0,0,0.0
KLoSA,functional,adl6a,0,0,0.0
KLoSA,functional,iadl,0,0,0.0
KLoSA,functional,iadlfour,0,0,0.0
KLoSA,functional,iadltot2_e,0,0,0.0
KLoSA,functional,r1adltot6,0,0,0.0
KLoSA,functional,r1iadltot_l,0,0,0.0
KLoSA,functional,frailty,0,0,0.0
KLoSA,functional,frailtya,0,0,0.0
KLoSA,functional,frailtyb,0,0,0.0
KLoSA,functional,gripsum,1,37332,84.32
KLoSA,functional,gripcomp,1,42331,95.61
KLoSA,functional,walkcomp,0,0,0.0
KLoSA,functional,fall,1,44273,100.0
KLoSA,functional,fall_down,0,0,0.0
KLoSA,cognitive,total_cognition,0,0,0.0
KLoSA,cognitive,cog_total,1,29176,65.9
KLoSA,cognitive,cogtot,0,0,0.0
KLoSA,cognitive,cog27,0,0,0.0
KLoSA,cognitive,r1cog_total,0,0,0.0
KLoSA,cognitive,memory_z,0,0,0.0
KLoSA,cognitive,orient_z,0,0,0.0
KLoSA,cognitive,tcog_z_z,0,0,0.0
KLoSA,cognitive,dementia,1,29176,65.9
KLoSA,cognitive,demene,0,0,0.0
KLoSA,cognitive,alzdeme,0,0,0.0
KLoSA,affective,cesd,0,0,0.0
KLoSA,affective,cesd10,0,0,0.0
KLoSA,affective,cesd10a,1,15291,34.54
KLoSA,affective,cesd10b,1,28852,65.17
KLoSA,affective,r1cesd10,0,0,0.0
KLoSA,affective,depressive,0,0,0.0
KLoSA,affective,psyche,1,44272,100.0
KLoSA,affective,r1psyche,0,0,0.0
KLoSA,affective,sleep_night,0,0,0.0
KLoSA,affective,satlifez,0,0,0.0
KLoSA,cardiometabolic_chronic,hibpe,1,44273,100.0
KLoSA,cardiometabolic_chronic,diabe,1,44271,100.0
KLoSA,cardiometabolic_chronic,hearte,1,44273,100.0
KLoSA,cardiometabolic_chronic,stroke,1,44266,99.98
KLoSA,cardiometabolic_chronic,hchole,0,0,0.0
