analysis_set,analysis_tier,cohort,outcome,outcome_label,model_type,term,term_label,log_or,or,ci_low,ci_high,p_value
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,0.071541,1.0742,1.0645,1.0839,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,-4.965436,0.007,0.0044,0.0111,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,-0.416122,0.6596,0.6098,0.7135,0.0
strict_earliest_primary,strict_primary,CHARLS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,0.066093,1.0683,1.0605,1.0762,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,-6.890513,0.001,0.0006,0.0017,0.0
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,-0.111273,0.8947,0.8316,0.9625,0.002851
strict_earliest_primary,strict_primary,ELSA,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,0.087427,1.0914,1.0837,1.0991,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,Intercept,Intercept,-4.928526,0.0072,0.0053,0.0099,0.0
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,functional_score,functional_score,-0.045571,0.9555,0.9008,1.0135,0.129719
strict_earliest_primary,strict_primary,HRS,functional_deterioration_ge_0_5sd,Functional deterioration >= 0.5 SD,matched_domain_score,age,age,0.065548,1.0677,1.0629,1.0727,0.0
