analysis_set,analysis_tier,cohort,wave,n,n_classes,reference_bic,reference_entropy_separation,reference_mean_max_posterior,replicate_id,resample_design,adjusted_rand_index_vs_reference,mean_centroid_distance_vs_reference,max_centroid_distance_vs_reference,aligned_component_order,replicate_min_class_pct_on_full_data,replicate_entropy_separation_on_full_data,replicate_converged,skip_reason,source_note
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,152,nonparametric_bootstrap,0.2074,0.7442,0.9804,"1,2,3",19.33,0.7296,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,153,nonparametric_bootstrap,0.9876,0.0647,0.1236,"1,2,3",16.54,0.916,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,154,nonparametric_bootstrap,0.2117,0.748,1.0027,"1,2,3",19.06,0.7238,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,155,nonparametric_bootstrap,0.9888,0.0653,0.1217,"1,2,3",16.05,0.9258,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,156,nonparametric_bootstrap,0.2327,0.7233,0.997,"1,2,3",20.34,0.7276,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,157,nonparametric_bootstrap,0.2731,0.6945,0.9005,"1,2,3",19.16,0.719,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,158,nonparametric_bootstrap,0.9745,0.0673,0.1225,"1,2,3",17.47,0.9157,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,159,nonparametric_bootstrap,0.9899,0.0427,0.0612,"1,2,3",16.1,0.9217,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,160,nonparametric_bootstrap,0.9696,0.0864,0.1375,"1,2,3",14.97,0.9222,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
functional_bridge_earliest_sensitivity,bridge_sensitivity,KLoSA,3,4081,3,16792.03,0.9236,0.9668,161,nonparametric_bootstrap,0.9918,0.0353,0.0778,"1,2,3",16.59,0.9202,1,,Extended nonparametric bootstrap refits from original complete-domain rows.
