analysis_set,analysis_tier,cohort,wave,method,target_classes,replicate_id,adjusted_rand_index_vs_full_fit,replicate_min_class_pct_on_full_data,replicate_converged,skip_reason
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,73,0.9275394862543974,6.014288087722213,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,74,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,75,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,76,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,77,0.9299205782421829,4.336268483136734,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,78,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,79,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,80,0.9275394862543974,6.014288087722213,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,81,0.9275373240929604,5.9810599767403225,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,82,0.9467012324735046,13.241402226283435,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,83,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,84,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,85,0.927507786188679,6.446253530486793,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,86,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,87,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,88,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,89,0.9275028015489488,6.379797308523011,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,90,0.9275316671707046,6.047516198704104,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,91,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,92,0.9275016536030223,6.34656919754112,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,93,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,94,0.9275113642242713,6.163814587140721,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,95,0.9275280940333254,6.0641302541950495,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,96,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,97,0.9276766576835748,6.977903306197043,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,98,1.0,11.41385612227945,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,99,0.9275316671707046,6.047516198704104,1,
strict_earliest_primary,strict_primary,CHARLS,1,gmm_diag,3,100,0.9275247451518137,6.080744309685994,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,1,0.9809316137431284,15.750124605416183,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,2,0.2707047949203158,14.155175278285428,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,3,0.8914518427161608,15.567369995015785,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,4,0.2723612159756164,13.557069280611397,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,5,0.9220917723352445,15.102176441269313,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,6,0.9016951674618556,15.168632663233094,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,7,0.27292624590581543,14.86957966439608,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,8,0.2713987322389597,14.886193719887025,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,9,0.9286839205356471,15.58398405050673,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,10,0.9324575551428512,15.46768566207011,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,11,0.2690217921126004,13.623525502575179,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,12,0.2758049484758522,14.28808772221299,1,
strict_earliest_primary,strict_primary,CHARLS,1,kmeans,3,13,0.9143845312856277,15.251702940687823,1,
